[][--Logs--][]
16.11.2019 | 15:52:06 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ярик
16.11.2019 | 15:52:09 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | есть 50 руб?
16.11.2019 | 15:52:20 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Есть..
16.11.2019 | 15:52:22 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | дом ул
16.11.2019 | 15:52:30 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | на киви?
16.11.2019 | 15:52:39 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | просто калаш щас продать не могу...
16.11.2019 | 15:52:52 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | ибо я пароль забыл и стим не даёт зайти
16.11.2019 | 15:52:57 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | только завтра смогу
16.11.2019 | 15:53:02 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ! homes.find(x=> x.id === Number(28 + 2))
16.11.2019 | 15:53:23 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ярик
16.11.2019 | 15:53:26 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | А тебе зачем?0_о
16.11.2019 | 15:53:35 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | надо
16.11.2019 | 15:54:01 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | элитку на тм потом продам и верну
16.11.2019 | 15:54:32 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | тм?
