[][--Logs--][]
25.10.2019 | 21:41:31 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | [club180149812|@bot_rikl_test] Копать к 🔋
25.10.2019 | 21:41:51 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !1 user.mine.eng = 19
25.10.2019 | 21:43:13 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | проф
25.10.2019 | 21:46:28 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | проф
25.10.2019 | 21:46:43 | Гл.Администратор | ID: 2 | ID Chat: 5 | URL: vk.com/id492001563 | Час ночи
25.10.2019 | 21:47:00 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | 21:46
25.10.2019 | 21:49:52 | Гл.Администратор | ID: 2 | ID Chat: 5 | URL: vk.com/id492001563 | И?
25.10.2019 | 21:49:56 | Гл.Администратор | ID: 2 | ID Chat: 5 | URL: vk.com/id492001563 | Спать быстро
25.10.2019 | 21:49:59 | Гл.Администратор | ID: 2 | ID Chat: 5 | URL: vk.com/id492001563 | Завтро в школу
25.10.2019 | 21:51:09 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | В какую еще школу?
25.10.2019 | 21:51:13 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | Каникулы1
25.10.2019 | 21:51:20 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | 
25.10.2019 | 21:52:24 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | check
