[][--Logs--][]
25.10.2019 | 21:54:40 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !1 user.mine.eng = 19
25.10.2019 | 21:54:43 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ! eng()
25.10.2019 | 21:54:54 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | 
25.10.2019 | 21:55:03 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | 
25.10.2019 | 21:55:05 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ??
25.10.2019 | 21:55:10 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | 
25.10.2019 | 21:55:15 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Случайно
25.10.2019 | 21:55:23 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | 
25.10.2019 | 21:55:51 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Ля можно стикеры прикреплять
25.10.2019 | 21:55:58 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !1 user.mine.eng = 24
25.10.2019 | 21:56:02 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Вкурсе
25.10.2019 | 21:56:05 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Теперь я все видел
25.10.2019 | 21:56:09 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ! eng()
25.10.2019 | 21:56:10 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | 
25.10.2019 | 21:56:24 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | 
25.10.2019 | 21:56:52 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Ярик хочешь на больное  наступлю ?
25.10.2019 | 21:57:01 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ! config.ver
25.10.2019 | 21:57:05 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ?
25.10.2019 | 21:57:21 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ! config.ver = "0.8.0"
25.10.2019 | 21:57:40 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Все бот в стабильной версии, я готов релизить
25.10.2019 | 21:57:48 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Дизайн ток остался
25.10.2019 | 21:57:50 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | У Ярика  3 по физике
25.10.2019 | 21:57:56 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | 
25.10.2019 | 21:58:01 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | и?
25.10.2019 | 21:58:02 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | ))))))
25.10.2019 | 21:58:10 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | 
25.10.2019 | 21:58:14 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Лан
25.10.2019 | 21:58:18 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Оу
25.10.2019 | 21:58:22 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | У Сани 3 по Химии и Физики
25.10.2019 | 21:58:28 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Ухуууу
25.10.2019 | 21:58:36 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Славо Богу
25.10.2019 | 21:58:44 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Нахуй мне ваш физмат
25.10.2019 | 21:58:54 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Пхаха
25.10.2019 | 21:59:12 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Ебашь
25.10.2019 | 22:00:28 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Дизайн нужен
25.10.2019 | 22:00:53 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Ебашь дизайн
25.10.2019 | 22:01:23 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | 4 раза садился и не чего в итоге не получлось
25.10.2019 | 22:02:01 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Купи у кого нибудь
25.10.2019 | 22:02:06 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Го ты попробуешь?) Может что то дельное получится
25.10.2019 | 22:02:17 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Я и хочу, мне надо 2 сотки надыбать
25.10.2019 | 22:02:38 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Не я  ,сейчас уже  того
25.10.2019 | 22:02:44 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | В оставке
25.10.2019 | 22:03:05 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Я бы сестру запряг
25.10.2019 | 22:03:08 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Но
25.10.2019 | 22:03:09 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ?
25.10.2019 | 22:03:16 | Игрок | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Мы сейчас на даче
